"Preferred Name";"synonym"
"BHK570 cell";"BHK_570"
"Growth Medium";"cultureMedium"
"Growth Medium";"suspensionMedium"
"Growth Medium";"growthMedium"
"BHK570 VII high producer";"BHKFVII_570"
"BHK570 VII high producer";"BHKVII"
"BHK570 VII high producer";"BHKFVII"
"cell type";"celltype"
"cell type";"Zelltyp"
"phosphate buffered saline";"PBS"
"Carboxymethylcellulose Sodium";"_1xCMC"
"Carboxymethylcellulose Sodium";"1xCMC"
"Carboxymethylcellulose Sodium";"2,5xCMC"
"Gelatine";"10%Gelatine"
"Gelatine";"10%_Gelantine"
"Gelatine";"20%Gelatine"
"Gelatine";"20%_Gelantine"
"Gelatine";"5%Gelatine"
"Gelatine";"5%_Gelantine"
"Gelatine with medium";"10%_Gelatine_mit_Medium"
"Gelatine with medium";"20%_Gelatine_mit_Medium"
"Gelatine with medium";"5%_Gelatine_mit_Medium"
"Medium";"_Medium"
"Cytoplasm";"_Cs"
"Cytoplasm";"_CP"
"Cytoplasm";"_Cp"
"Scan";"_scan"
"Nucleus";"_ZK"
"Nucleus";"_Zk"
"Background";"BG"
"Background";"_BG"
"Location";"measurementPosition"
"Location";"measurementLocation"
"Duration";"measurementTime"
"Second";"sec"
"objective lens";"objective"
"objective lens";"lens"
